headword,CEFR
railway,B1
reservation,B1
rail,B1
ashamed,B1
resolve,B1
ape,B1
railroad,B1
lovingly,B1
artist,B1
jade,B1
iron,B1
radiation,B1
runway,B1
marble,B1
maple,B1
retail,B1
quake,B1
antique,B1
sometime,B1
steady,B1
sometimes,B1
qualified,B1
aspirin,B1
wither,B1
introduction,B1
steadily,B1
mankind,B1
qualify,B1
management,B1
quantity,B1
runaway,B1
status,B1
accessory,B1
puzzle,B1
someplace,B1
marine,B1
accidental,B1
intermediate,B1
mass,B1
mash,B1
retain,B1
pure,B1
purify,B1
intermission,B1
somehow,B1
internal,B1
internationally,B1
willingness,B1
invasion,B1
purse,B1
interrupt,B1
steel,B1
steam,B1
interval,B1
interviewee,B1
marriage,B1
witness,B1
accidentally,B1
marked,B1
steep,B1
isolation,B1
antonym,B1
restore,B1
magician,B1
magical,B1
involved,B1
sorrow,B1
ironing,B1
aspect,B1
sort,B1
irregular,B1
stare,B1
rudely,B1
anyhow,B1
soul,B1
irritate,B1
race,B1
aside,B1
racial,B1
respectable,B1
standard,B1
rubbish,B1
isle,B1
luxury,B1
rubber,B1
lung,B1
magnificent,B1
involve,B1
sore,B1
anxiously,B1
abandon,B1
anxiety,B1
soothe,B1
accessible,B1
rest,B1
question mark,B1
invest,B1
questionnaire,B1
majority,B1
queue,B1
sophomore,B1
restrict,B1
maintenance,B1
maintain,B1
responsible,B1
access,B1
responsibility,B1
invitation,B1
acceptance,B1
main,B1
respond,B1
involuntarily,B1
mailbox,B1
retrospect,B1
investigation,B1
jog,B1
latecomer,B1
jogging,B1
legally,B1
legal,B1
reduce,B1
reduction,B1
roadside,B1
knit,B1
approval,B1
sphere,B1
aboard,B1
spice,B1
arise,B1
reef,B1
reliable,B1
referee,B1
lecture,B1
lab,B1
laboratory,B1
approve,B1
ladder,B1
reflection,B1
rid,B1
recycling,B1
spelling,B1
religion,B1
recycled,B1
kindness,B1
lessen,B1
recommend,B1
robot,B1
remembrance,B1
abnormal,B1
spectacular,B1
spectator,B1
remedy,B1
length,B1
relaxing,B1
remarkable,B1
recording,B1
rewrite,B1
remainder,B1
recover,B1
rely,B1
kitten,B1
approach,B1
recovery,B1
arithmetic,B1
religious,B1
remark,B1
spicy,B1
lamb,B1
riddle,B1
leadership,B1
sponsor,B1
ripe,B1
regain,B1
regard,B1
layer,B1
lay,B1
regarding,B1
sponge,B1
region,B1
refuse,B1
lawful,B1
regulation,B1
lasting,B1
register,B1
architect,B1
launch,B1
laughter,B1
registration,B1
wire,B1
spoil,B1
lately,B1
regional,B1
recognize/recognise,B1
largely,B1
leading,B1
refreshments,B1
spider,B1
relatively,B1
sportsmanship,B1
relative,B1
leap,B1
relationship,B1
landlord,B1
relation,B1
sports,B1
aborigine,B1
risk,B1
rise,B1
spiral,B1
lean,B1
relate,B1
spirit,B1
refund,B1
reject,B1
league,B1
spiritual,B1
ridiculous,B1
refusal,B1
approximately,B1
spinach,B1
logic,B1
appreciation,B1
reclaim,B1
ration,B1
reputation,B1
rational,B1
judgment/judgement,B1
republic,B1
jug,B1
liquid,B1
appetite,B1
link,B1
arrow,B1
sparkle,B1
applaud,B1
limp,B1
limited,B1
limitation,B1
reproduce,B1
limit,B1
applause,B1
juicy,B1
revise,B1
react,B1
abstract,B1
likeness,B1
literary,B1
literature,B1
abundance,B1
log,B1
requirement,B1
rotten,B1
rapid,B1
lodge,B1
rapidly,B1
location,B1
rare,B1
joint,B1
locate,B1
absorb,B1
require,B1
rarely,B1
raspberry,B1
souvenir,B1
journal,B1
loaf,B1
journalist,B1
abundant,B1
apparent,B1
liver,B1
appeal,B1
representative,B1
repeatedly,B1
rolling,B1
librarian,B1
kettle,B1
arrange,B1
rebuild,B1
recall,B1
keyboard,B1
wing,B1
liberation,B1
liberate,B1
arrangement,B1
able,B1
army,B1
reception,B1
liar,B1
killing,B1
renew,B1
remove,B1
remote control,B1
recite,B1
lettuce,B1
reward,B1
repay,B1
justice,B1
stable,B1
absolutely,B1
lightning,B1
lightly,B1
absolute,B1
absent,B1
application,B1
lighter,B1
specialist,B1
realistic,B1
lift,B1
arrest,B1
reality,B1
specialize/specialise,B1
jumper,B1
arrival,B1
jungle,B1
lifelong,B1
specially,B1
lifeguard,B1
absence,B1
appoint,B1
rearrange,B1
revision,B1
reasonable,B1
razor,B1
wrap,B1
puppy,B1
secretly,B1
significance,B1
signature,B1
signal,B1
obstacle,B1
obtain,B1
obvious,B1
obviously,B1
occasion,B1
addressee,B1
secure,B1
occasional,B1
occasionally,B1
pie,B1
occupy,B1
observe,B1
objective,B1
numerous,B1
pineapple,B1
nutrient,B1
nutrition,B1
nutritious,B1
pin,B1
silk,B1
pillow,B1
silent,B1
object,B1
signpost,B1
objection,B1
piety,B1
observation,B1
occur,B1
ocean,B1
security,B1
phoenix,B1
agriculture,B1
philosophy,B1
agricultural,B1
philosopher,B1
agreement,B1
phenomenon,B1
pharmacy,B1
phantom,B1
seize,B1
oneself,B1
select,B1
persuasive,B1
onstage,B1
stem,B1
administration,B1
sickness,B1
old-fashioned,B1
physics,B1
airline,B1
phrase,B1
phrasal verb,B1
air force,B1
similarity,B1
offensive,B1
sigh,B1
officially,B1
sidewalk,B1
oily,B1
photocopy,B1
aim,B1
aid,B1
air conditioning,B1
pipe,B1
second-hand,B1
similarly,B1
poetry,B1
poet,B1
actress,B1
pocket money,B1
season,B1
plug,B1
nod,B1
alike,B1
noisily,B1
seawater,B1
none,B1
nightlife,B1
allergic,B1
niece,B1
poison,B1
politician,B1
neutral,B1
nevertheless,B1
politely,B1
newborn,B1
newcomer,B1
newly,B1
nonetheless,B1
sculpture,B1
policy,B1
next door,B1
next-door,B1
nickname,B1
pole,B1
poisonous,B1
allowance,B1
onto/on to,B1
nonsense,B1
noticeboard,B1
notion,B1
notorious,B1
simplify,B1
yell,B1
plain,B1
novelist,B1
pit,B1
secondary school,B1
nowhere,B1
nuclear,B1
nucleus,B1
noticeable,B1
ad,B1
nor,B1
pleasantly,B1
normally,B1
seaweed,B1
northeast,B1
northeastern,B1
northern,B1
northwest,B1
northwestern,B1
platform,B1
simultaneously,B1
alcoholic,B1
alcohol,B1
adapt,B1
network,B1
worth,B1
sheer,B1
affect,B1
severe,B1
passion,B1
overwhelm,B1
overwhelming,B1
overwork,B1
owe,B1
owing,B1
shave,B1
wrist,B1
aerobics,B1
part-time,B1
severely,B1
passive,B1
adviser/advisor,B1
sheet,B1
passport,B1
overcome,B1
shiny,B1
settlement,B1
settler,B1
shift,B1
overjoyed,B1
sheriff,B1
patience,B1
wristwatch,B1
overnight,B1
shelter,B1
advance,B1
password,B1
affection,B1
oxygen,B1
particularly,B1
sex,B1
advertise,B1
advert,B1
adverb,B1
shadowy,B1
wound,B1
pale,B1
paradise,B1
shameful,B1
adverbial,B1
palm,B1
parachute,B1
shame,B1
shallow,B1
paralyze/paralyse,B1
parcel,B1
wrapping,B1
painful,B1
sharp,B1
participle,B1
pace,B1
participate,B1
participant,B1
package,B1
partial,B1
settle,B1
parrot,B1
packing,B1
paddle,B1
parental,B1
paid,B1
pain,B1
parking,B1
setting,B1
patrol,B1
orbit,B1
orchestra,B1
performer,B1
orderly,B1
ordinary,B1
organ,B1
organic,B1
percent/per cent,B1
organism,B1
per,B1
organization/organisation,B1
sensation,B1
penny,B1
origin,B1
oral,B1
agenda,B1
option,B1
admission,B1
selection,B1
aggressive,B1
operation,B1
persuade,B1
selfish,B1
personally,B1
admiration,B1
penniless,B1
self-service,B1
permit,B1
opposition,B1
oppress,B1
permanently,B1
oppression,B1
shrimp,B1
permanent,B1
opening,B1
adopt,B1
separation,B1
out-of-date,B1
server,B1
service,B1
shocking,B1
shocked,B1
worthwhile,B1
session,B1
outstanding,B1
outward,B1
shiver,B1
outweigh,B1
afford,B1
pause,B1
pattern,B1
worthy,B1
adorable,B1
outline,B1
outlaw,B1
otherwise,B1
ought to,B1
shortly,B1
afterwards,B1
afterward,B1
sequence,B1
shortage,B1
written,B1
peculiar,B1
peanut,B1
serious,B1
outdoor,B1
outdoors,B1
outer,B1
shopper,B1
series,B1
politics,B1
pollutant,B1
pond,B1
accountant,B1
sand,B1
angle,B1
sandal,B1
professor,B1
anger,B1
mineral,B1
profession,B1
minimize/minimise,B1
productive,B1
minimum,B1
producer,B1
sneeze,B1
minor,B1
minority,B1
progress,B1
mild,B1
proof,B1
animated,B1
soap opera,B1
pronoun,B1
salesman,B1
promotion,B1
promote,B1
prominent,B1
middle-aged,B1
salmon,B1
snowstorm,B1
prohibition,B1
snowboard,B1
mile,B1
minus,B1
procrastination,B1
miracle,B1
mixing bowl,B1
analyze/analyse,B1
principle,B1
modal verb/modal,B1
modem,B1
moderate,B1
accurate,B1
accurately,B1
primitive,B1
analysis,B1
primary school,B1
smoker,B1
misunderstanding,B1
misty,B1
satisfied,B1
proclaim,B1
process,B1
mischief,B1
miserable,B1
misery,B1
mislead,B1
proceed,B1
messy,B1
accuracy,B1
prize,B1
mission,B1
satellite,B1
satisfaction,B1
privacy,B1
prisoner,B1
prison,B1
probability,B1
message board,B1
animation,B1
properly,B1
safari,B1
annually,B1
public transport,B1
soil,B1
annual,B1
pub,B1
meaningful,B1
meanwhile,B1
measure,B1
measurement,B1
mechanic,B1
mechanical,B1
safeguard,B1
psychological,B1
mayor,B1
sadness,B1
publicly,B1
publisher,B1
massive,B1
pupil,B1
punishment,B1
punish,B1
accompany,B1
anti,B1
safely,B1
solid,B1
mathematics,B1
ant,B1
pump,B1
sacred,B1
pullover,B1
maximum,B1
accomplish,B1
mathematician,B1
saucepan,B1
safety,B1
provided,B1
mend,B1
mental,B1
according to,B1
mentally,B1
propose,B1
proposal,B1
proportion,B1
merchant,B1
socially,B1
mere,B1
merely,B1
social networking,B1
mess,B1
property,B1
announce,B1
memorize/memorise,B1
prosperity,B1
prosperous,B1
meditate,B1
meditation,B1
proverb,B1
Mediterranean,B1
medium,B1
annoyance,B1
prove,B1
annoyed,B1
announcement,B1
melt,B1
protest,B1
protective,B1
membership,B1
memorable,B1
protection,B1
protect,B1
proud,B1
primarily,B1
modify,B1
moisture,B1
acquaintance,B1
skin,B1
narrate,B1
practical,B1
science fiction,B1
narrative,B1
narrow,B1
nasty,B1
nationalist,B1
powder,B1
poverty,B1
pound,B1
naturally,B1
pottery,B1
acquire,B1
acknowledgment/acknowledgement,B1
nap,B1
acknowledge,B1
scholarship,B1
achievement,B1
altogether,B1
mustard,B1
skyscraper,B1
precious,B1
mutual,B1
potential,B1
prayer,B1
schoolmate,B1
myth,B1
schoolteacher,B1
nail,B1
naked,B1
alternative,B1
praise,B1
scholar,B1
scold,B1
navy blue,B1
negotiation,B1
port,B1
pork,B1
worn,B1
neighborhood/neighbourhood,B1
alphabet,B1
aloud,B1
nephew,B1
popcorn,B1
nervousness,B1
ness,B1
active,B1
negotiate,B1
scratch,B1
positive,B1
nearby,B1
pot,B1
skeleton,B1
postman,B1
postcard,B1
scope,B1
necklace,B1
possibility,B1
possessive,B1
possession,B1
score,B1
possess,B1
needle,B1
positively,B1
nectar,B1
wizard,B1
muscle,B1
yoga,B1
moreover,B1
scan,B1
slip,B1
slightly,B1
slight,B1
press,B1
mosquito,B1
president,B1
moss,B1
preserve,B1
preservation,B1
ambulance,B1
presentation,B1
ambitious,B1
slogan,B1
moral,B1
slope,B1
molecule,B1
priest,B1
amusing,B1
saucer,B1
accuse,B1
monitor,B1
scare,B1
accustom,B1
previous,B1
monster,B1
monthly,B1
monument,B1
ache,B1
amount,B1
slot,B1
monk,B1
murderer,B1
motherland,B1
movement,B1
scary,B1
workplace,B1
amazing,B1
scatter,B1
workshop,B1
amazed,B1
mud,B1
pregnant,B1
mule,B1
slavery,B1
prefix,B1
preference,B1
scenic,B1
prejudice,B1
workout,B1
working,B1
preparation,B1
motivate,B1
presence,B1
motivation,B1
prescription,B1
motive,B1
scared,B1
motor,B1
motionless,B1
motorcycle,B1
preposition,B1
motto,B1
mount,B1
prepared,B1
sleeve,B1
mountaintop,B1
mourn,B1
preschool,B1
huge,B1
embarrass,B1
transform,B1
transfer,B1
dissolve,B1
distance,B1
distant,B1
distinction,B1
distinctly,B1
distinguish,B1
distribute,B1
transformation,B1
distribution,B1
disturbance,B1
dive,B1
diver,B1
diverse,B1
divine,B1
diving,B1
divorced,B1
DJ,B1
district,B1
transitional,B1
translate,B1
disappointment,B1
disaster,B1
disastrous,B1
disc jockey/disk jockey,B1
travel agent,B1
boldly,B1
discomfort,B1
discount,B1
discourage,B1
discovery,B1
trash,B1
discrimination,B1
wasteful,B1
disease,B1
transportation,B1
disgusting,B1
bold,B1
transport,B1
dishwasher,B1
disk/disc,B1
doc,B1
trail,B1
document,B1
documentary,B1
drown,B1
blogger,B1
drunk,B1
blog,B1
dude,B1
total,B1
dull,B1
toss,B1
dump,B1
dustbin,B1
dusty,B1
duty,B1
duty-free,B1
duvet,B1
tornado,B1
dynasty,B1
eager,B1
blind,B1
eagerness,B1
totally,B1
disappoint,B1
boast,B1
dolphin,B1
tragic,B1
tragedy,B1
traffic jam,B1
traditionally,B1
dot,B1
tracksuit,B1
trace,B1
blush,B1
waterfall,B1
downward,B1
doze,B1
dozen,B1
drag,B1
tournament,B1
dramatic,B1
tourism,B1
wax,B1
blessing,B1
disagreement,B1
disable,B1
deliver,B1
delivery,B1
demand,B1
democracy,B1
democratic,B1
trustworthy,B1
demonstrate,B1
demonstration,B1
trumpet,B1
delightful,B1
deny,B1
department,B1
departure,B1
dependent,B1
deposit,B1
depressed,B1
depressing,B1
depression,B1
deprive,B1
depth,B1
depart,B1
delighted,B1
delight,B1
delicate,B1
warrior,B1
turbulence,B1
decrease,B1
dedicate,B1
tuna,B1
deed,B1
tumble,B1
defeat,B1
defend,B1
defender,B1
defense/defence,B1
deficiency,B1
boot,B1
define,B1
definite,B1
definite article,B1
definitely,B1
definition,B1
boom,B1
delete,B1
derive,B1
deserve,B1
booking,B1
diameter,B1
diaper,B1
trend,B1
washbowl,B1
differ,B1
bond,B1
digital,B1
tremendous,B1
tremble,B1
diligence,B1
diligent,B1
bomb,B1
dioxide,B1
treatment,B1
treat,B1
directly,B1
dirt,B1
waste,B1
disability,B1
dialog/dialogue,B1
disabled,B1
dial,B1
devotion,B1
designer,B1
desire,B1
tropical,B1
despair,B1
desperate,B1
despite,B1
destination,B1
triumph,B1
destruction,B1
destructive,B1
trim,B1
detective,B1
determination,B1
determine,B1
trigger,B1
devastate,B1
devastating,B1
development,B1
device,B1
diagram,B1
border,B1
earache,B1
earnest,B1
examine,B1
threat,B1
examiner,B1
excellence,B1
excess,B1
exchange rate,B1
excitedly,B1
excitement,B1
examination,B1
thorough,B1
thirst,B1
bet,B1
exhausted,B1
existence,B1
exit,B1
expand,B1
expense,B1
exclusive,B1
threatening,B1
webcam,B1
exact,B1
thus,B1
establishment,B1
biochemistry,B1
estimate,B1
thunderous,B1
eternal,B1
thunder,B1
eternity,B1
thump,B1
thumb,B1
weather forecast,B1
throughout,B1
bin,B1
evenly,B1
eventually,B1
bilingual,B1
evident,B1
thriller,B1
experienced,B1
experiment,B1
exploration,B1
beloved,B1
thankful,B1
faithful,B1
fake,B1
fallen,B1
weird,B1
fantasy,B1
faraway,B1
farewell,B1
belief,B1
farming,B1
farmland,B1
farther,B1
farthest,B1
fascinate,B1
fashionable,B1
fasten,B1
behave,B1
essential,B1
faint,B1
fade,B1
explosion,B1
expose,B1
bent,B1
extend,B1
extensively,B1
extent,B1
theory,B1
extinct,B1
extinction,B1
extraordinary,B1
extreme,B1
extreme sports,B1
eyesight,B1
benefit,B1
theft,B1
face to face,B1
face-to-face,B1
beneath,B1
facility,B1
failure,B1
bless,B1
essence,B1
electrical,B1
electricity,B1
electron,B1
electronic,B1
weapon,B1
bitter,B1
element,B1
tobacco,B1
election,B1
eliminate,B1
embarrassed,B1
embarrassment,B1
tissue,B1
tiring,B1
emerge,B1
emotion,B1
emotional,B1
emotionally,B1
emperor,B1
bishop,B1
elbow,B1
toothpaste,B1
eastern,B1
blend,B1
easygoing/easy-going,B1
eco,B1
ecological,B1
bleed,B1
ecology,B1
economic,B1
weakness,B1
economics,B1
economy,B1
ecosystem,B1
ecstasy,B1
edge,B1
tongue,B1
edition,B1
educate,B1
effective,B1
efficiency,B1
efficient,B1
emphasis,B1
emphasize/emphasize,B1
empire,B1
tire,B1
enthusiasm,B1
enthusiast,B1
enthusiastic,B1
tile,B1
entire,B1
entirely,B1
entry,B1
tightly,B1
environmental,B1
environmentalist,B1
tighten,B1
biology,B1
equal,B1
equality,B1
equally,B1
equipment,B1
era,B1
tide,B1
biography,B1
entertainer,B1
tick,B1
entertain,B1
enrich,B1
employment,B1
enable,B1
enclose,B1
encounter,B1
encouragement,B1
encouraging,B1
encyclopedia/encyclopaedia,B1
endanger,B1
endless,B1
tiny,B1
tin,B1
endure,B1
enemy,B1
timely,B1
engage,B1
engaged,B1
engine,B1
engineering,B1
Englishman,B1
enjoyable,B1
enjoyment,B1
ensure,B1
decline,B1
declaration,B1
choir,B1
choke,B1
Christian,B1
chronological,B1
chuckle,B1
broadcast,B1
van,B1
circular,B1
variety,B1
circus,B1
civil,B1
civilization/civilisation,B1
valuable,B1
broad,B1
classical,B1
vain,B1
classify,B1
citizenship,B1
various,B1
broccoli,B1
vary,B1
charm,B1
chase,B1
chat show,B1
brotherhood,B1
check-in counter/check-in,B1
check-in desk/check-in,B1
checkout,B1
cheerful,B1
vein,B1
vehicle,B1
chemist,B1
chemistry,B1
vegetarian,B1
cherish,B1
bronze,B1
vast,B1
chest of drawers,B1
chewing gum,B1
chief,B1
vague,B1
brightly,B1
collar,B1
urgent,B1
urge,B1
upward,B1
columnist,B1
up-to-date,B1
combination,B1
combine,B1
comedian,B1
comedy,B1
comet,B1
comfort,B1
comma,B1
command,B1
comment,B1
commercial,B1
upper,B1
commit,B1
common sense,B1
commonly,B1
collapse,B1
charity,B1
breakthrough,B1
usage,B1
cliff,B1
climate,B1
vacancy,B1
briefly,B1
climber,B1
clinic,B1
clip,B1
brief,B1
closely,B1
brick,B1
breeding,B1
breed,B1
coal,B1
coastal,B1
useless,B1
used to,B1
cod,B1
breathless,B1
coffin,B1
breath,B1
breast,B1
upload,B1
chariot,B1
characterize/characterise,B1
calmness,B1
camel,B1
bump,B1
visual,B1
campsite,B1
canal,B1
cancel,B1
cancer,B1
visually,B1
candle,B1
bullet,B1
canned,B1
vision,B1
canteen,B1
bull,B1
visible,B1
capable,B1
capacity,B1
capsule,B1
bulletin,B1
calm,B1
caller,B1
calf,B1
burning,B1
burst,B1
volcano,B1
bust,B1
burglar,B1
butcher,B1
vividly,B1
volume,B1
bureau,B1
buyer,B1
vivid,B1
volunteer,B1
burden,B1
cabbage,B1
cabin,B1
bunch,B1
cage,B1
calculate,B1
calculation,B1
calculator,B1
visa,B1
virus,B1
capture,B1
virtual,B1
cave,B1
bubble,B1
CD-ROM,B1
victim,B1
vice president,B1
wagon,B1
celebrity,B1
cell,B1
vice,B1
via,B1
central,B1
central heating,B1
ceremony,B1
certainty,B1
vet,B1
vessel,B1
challenging,B1
champion,B1
channel,B1
chaos,B1
characteristic,B1
cautious,B1
charge,B1
caution,B1
cattle,B1
violently,B1
career,B1
violence,B1
builder,B1
careless,B1
carelessly,B1
