id,word,meaning1,meaning2,meaning3,level
86,fast,"hızlı, çabuk",süratli,oruç tutmak,A1
87,farmer,çiftçi,tarımcı,reçber,A1
88,farm,çiftlik,"tarla, arazi",çiftçilik yapmak,A1
89,fan,"hayran, takipçi","vantilatör, yelpaze",körüklemek,A1
90,famous,"ünlü, meşhur",tanınmış,"şanlı, namlı",A1
91,family,aile,"hane, soy",akrabalar,A1
92,than,-den daha,"kıyasla, nazaran",oranda,A1
93,thank,teşekkür etmek,minnettar olmak,şükretmek,A1
94,false,"yanlış, hatalı","sahte, yapay","yalan, gerçeksiz",A1
95,fairy,peri,masal yaratığı,efsanevi varlık,A1
96,fair,"adil, dürüst","fuar, panayır","makul, orta",A1
97,thanks,teşekkürler,sağ ol,"minnet, şükran",A1
98,factory,fabrika,imalathane,üretim tesisi,A1
99,that,"şu, o",ki,"öyle, o kadar",A1
100,the,belirli nesne takısı,bilinen şey,"o, bu",A1
101,theater/theatre,tiyatro,tiyatro salonu,tiyatro sanatı,A1
102,face,yüz,çehre,yüzleşmek,A1
103,their,onların,kendilerinin,onlara ait,A1
104,them,onları,onlara,kendilerini,A1
105,eye,göz,bakış,gözlemlemek,A1
106,there,orada,oraya,şurada,A1
107,friend,arkadaş,dost,tanıdık,A1
108,talk,konuşmak,sohbet etmek,konuşma,A1
109,frog,kurbağa,kara kurbağası,su kurbağası,A1
110,hear,duymak,işitmek,haber almak,A1
111,healthy,sağlıklı,sıhhatli,faydalı,A1
112,supermarket,süpermarket,büyük market,gıda marketi,A1
113,health,sağlık,sıhhat,afiyet,A1
114,headache,baş ağrısı,sıkıntı,dert,A1
115,head,baş,kafa,lider,A1
116,he,o,o erkek,erkek,A1
117,have to,zorunda olmak,mecbur olmak,gerekmek,A1
118,have,sahip olmak,almak,yemek,A1
119,hat,şapka,başlık,kep,A1
120,has,var,sahip,sahiptir,A1
121,hard,zor,sert,güç,A1
122,happy,mutlu,neşeli,sevinçli,A1
123,happen,olmak,meydana gelmek,gerçekleşmek,A1
124,handsome,yakışıklı,çekici,hoş,A1
125,hand,el,taraf,vermek,A1
126,sure,emin,kesin,şüphesiz,A1
127,hamburger,hamburger,köfteli ekmek,hızlı yemek,A1
128,hall,salon,koridor,antre,A1
129,half,yarım,yarı,buçuk,A1
130,haircut,saç kesimi,saç modeli,tıraş,A1
131,hair,saç,kıl,tüy,A1
132,had,sahipti,vardı,elde etti,A1
133,heart,kalp,yürek,gönül,A1
134,surf,sörf yapmak,dalga,sörf,A1
135,heavy,ağır,yoğun,şiddetli,A1
136,sunshine,güneş ışığı,gün ışığı,güneş,A1
137,homework,ev ödevi,ödev,ders çalışması,A1
138,hometown,memleket,doğduğu şehir,ana vatan,A1
139,home,ev,yuva,memleket,A1
140,summer,yaz,yaz mevsimi,yaz dönemi,A1
141,holiday,tatil,bayram,izin,A1
142,hole,delik,çukur,boşluk,A1
143,sun,güneş,gün ışığı,gün,A1
144,hold,tutmak,kavramak,düzenlemek,A1
145,hobby,hobi,uğraş,merak,A1
146,history,tarih,geçmiş,tarih bilimi,A1
147,his,onun,onunkisi,erkek için,A1
148,him,onu,ona,kendisini,A1
149,hill,tepe,yokuş,höyük,A1
150,Sunday,pazar,pazar günü,hafta sonu,A1
151,high,yüksek,yüce,gelişmiş,A1
152,hide,saklamak,gizlenmek,deri,A1
153,hi,selam,merhaba,hey,A1
154,hers,onunki,onun,kadınınki,A1
155,here,burada,buraya,bu noktada,A1
156,sunny,güneşli,neşeli,aydınlık,A1
157,her,onu,ona,onun,A1
158,help,yardım etmek,yardım,çare olmak,A1
159,hello,merhaba,selam,alo,A1
160,super,harika,süper,üstün,A1
161,habit,alışkanlık,huy,giysi,A1
162,guy,adam,herif,erkek,A1
163,guitar,gitar,telli çalgı,gitar çalmak,A1
164,swim,yüzmek,yüzme,başı dönmek,A1
165,glasses,gözlük,bardaklar,kadehler,A1
166,glass,cam,bardak,kadeh,A1
167,swimming,yüzme,yüzen,baş dönmesi,A1
168,glad,memnun,sevinçli,mutlu,A1
169,swimming pool,yüzme havuzu,havuz,açık havuz,A1
170,give,vermek,sunmak,bağışlamak,A1
171,girlfriend,kız arkadaş,sevgili,kız eş,A1
172,girl,kız,kız çocuk,genç kadın,A1
173,gift,hediye,armağan,yetenek,A1
174,ghost,hayalet,ruh,gölge,A1
175,get,almak,elde etmek,ulaşmak,A1
176,table,masa,tablo,liste,A1
177,garden,bahçe,bostan,bahçecilik yapmak,A1
178,garbage,çöp,atık,döküntü,A1
179,future,gelecek,istikbal,gelecekteki,A1
180,funny,komik,eğlenceli,tuhaf,A1
181,take,almak,götürmek,kabul etmek,A1
182,fun,eğlence,neşe,eğlenceli,A1
183,full,dolu,tam,tok,A1
184,fruit,meyve,ürün,sonuç,A1
185,front,ön,cephe,ön kısım,A1
186,from,-den,-dan,itibaren,A1
187,sweet,tatlı,şirin,sevimli,A1
188,go,gitmek,ilerlemek,ayrılmak,A1
189,goal,hedef,amaç,gol,A1
190,gold,altın,altın sarısı,değerli,A1
191,guest,konuk,misafir,davetli,A1
192,guess,tahmin etmek,tahmin,varsaymak,A1
193,surprise,sürpriz,şaşırtmak,hayret,A1
194,grow,büyümek,gelişmek,yetiştirmek,A1
195,group,grup,küme,topluluk,A1
196,ground,yer,zemin,topraklamak,A1
197,greet,selamlamak,karşılamak,selam vermek,A1
198,green,yeşil,ham,çimlik,A1
199,survey,anket,inceleme,araştırma,A1
200,great,harika,büyük,muhteşem,A1
201,gray/grey,gri,boz,kurşuni,A1
202,evening,akşam,gece,akşam vakti,A1
203,grass,çim,ot,çimen,A1
204,grandparent,büyükebeveyn,dede veya büyükanne,aile büyüğü,A1
205,grandpa,dede,büyükbaba,büyükpeder,A1
206,grandmother,büyükanne,nine,anneanne,A1
207,grandma,nine,büyükanne,babaanne,A1
208,grandfather,büyükbaba,dede,büyükpeder,A1
209,grammar,dilbilgisi,gramer,dil kuralları,A1
210,grade,sınıf,not,derece,A1
211,good night,iyi geceler,hayırlı geceler,tatlı rüyalar,A1
212,good morning,günaydın,hayırlı sabahlar,iyi sabahlar,A1
213,good afternoon,tünaydın,iyi günler,iyi öğleden sonralar,A1
214,good,iyi,güzel,hoş,A1
215,grape,üzüm,bağ meyvesi,üzüm tanesi,A1
216,sum,toplam,tutar,meblağ,A1
217,through,içinden,vasıtasıyla,boyunca,A1
218,Thursday,perşembe,perşembe günü,haftanın beşinci günü,A1
219,come,gelmek,varmak,ulaşmak,A1
220,color/colour,renk,ton,renk vermek,A1
221,college,kolej,yüksekokul,fakülte,A1
222,collection,koleksiyon,toplama,birikim,A1
223,collect,toplamak,biriktirmek,derlemek,A1
224,cold,soğuk,soğukalgınlığı,üşütme,A1
225,coke,kola,kok kömürü,kok,A1
226,us,bizi,bize,biz,A1
227,use,kullanmak,faydalanmak,kullanım,A1
228,coffee,kahve,kahve çekirdeği,koyu kahverengi,A1
229,code,kod,şifre,kurallar bütünü,A1
230,coat,palto,mont,kaban,A1
231,usually,genellikle,çoğunlukla,genelde,A1
232,coach,antrenör,koç,otobüs,A1
233,club,kulüp,dernek,sopayla vurmak,A1
234,cloudy,bulutlu,kapalı,bulanık,A1
235,cloud,bulut,duman bulutu,gölgelemek,A1
236,clothes,giysiler,kıyafetler,elbise,A1
237,cloth,kumaş,bez,örtü,A1
238,closed,kapalı,kapanmış,bitmiş,A1
239,close,kapatmak,yakın,samimi,A1
240,clock,saat,duvar saati,zaman ölçer,A1
241,climb,tırmanmak,yükselmek,tırmanış,A1
242,up,yukarı,yukarıya,ayakta,A1
243,clever,akıllı,zeki,ustaca,A1
244,until,kadar,dek,değin,A1
245,concert,konser,uyum,düzenlemek,A1
246,culture,kültür,ekin,yetiştirme,A1
247,uncle,amca,dayı,enişte,A1
248,cry,ağlamak,bağırmak,çığlık,A1
249,under,altında,altına,alt,A1
250,credit card,kredi kartı,kredi kartı hesabı,plastik kart,A1
251,underline,altını çizmek,vurgulamak,belirtmek,A1
252,cream,krema,krem,kaymak,A1
253,cow,inek,dişi sığır,sığır,A1
254,cover,örtmek,kaplamak,kapak,A1
255,cousin,kuzen,amca oğlu,teyze kızı,A1
256,course,kurs,ders,gidişat,A1
257,could,ebildi,olabilir,yapabilirdi,A1
258,couch,koltuk,kanepe,divan,A1
259,correct,doğru,düzeltmek,hatasız,A1
260,corner,köşe,dönemeç,korner,A1
261,corn,mısır,nasır,tahıl,A1
262,copy,kopyalamak,kopya,çoğaltmak,A1
263,cop,polis,aynasız,yakalamak,A1
264,cool,serin,havalı,soğukkanlı,A1
265,cookie,kurabiye,bisküvi,çerez,A1
266,cook,yemek pişirmek,aşçı,pişmek,A1
267,conversation,sohbet,konuşma,söyleşi,A1
268,contest,yarışma,müsabaka,itiraz etmek,A1
269,computer,bilgisayar,bilgi işlemci,hesaplayıcı,A1
270,cup,fincan,kupa,kadeh,A1
271,vacation,tatil,izne çıkmak,boşaltma,A1
272,classroom,sınıf,derslik,dershane,A1
273,carry,taşımak,götürmek,sürdürmek,A1
274,carefully,dikkatlice,özenle,titizlikle,A1
275,careful,dikkatli,özenli,tedbirli,A1
276,care,önemsemek,bakım,özen,A1
277,card,kart,kartpostal,iskambil kağıdı,A1
278,car,araba,otomobil,vagon,A1
279,cap,şapka,kapak,başlık,A1
280,visit,ziyaret etmek,uğramak,ziyaret,A1
281,candy,şeker,şekerleme,tatlı,A1
282,can,edebilmek,konserve,kutu,A1
283,camp,kamp,kamp yapmak,orduğah,A1
284,camera,kamera,fotoğraf makinesi,çekim cihazı,A1
285,call,aramak,çağırmak,adlandırmak,A1
286,cake,pasta,kek,çörek,A1
287,cafe/café,kafe,kafeterya,kahvehane,A1
288,bye,hoşça kal,görüşürüz,elveda,A1
289,by,tarafından,yanında,vasıtasıyla,A1
290,buy,satın almak,ısmarlamak,alım,A1
291,button,düğme,tuş,rozet,A1
292,butterfly,kelebek,kelebek stili,kelebek somun,A1
293,butter,tereyağı,yağ sürmek,yağlamak,A1
294,but,fakat,ama,ancak,A1
295,busy,meşgul,yoğun,hareketli,A1
296,cartoon,çizgi film,karikatür,mizah resmi,A1
297,clean,temiz,temizlemek,arıtmak,A1
298,case,durum,dava,kılıf,A1
299,catch,yakalamak,tutmak,yetişmek,A1
300,classmate,sınıf arkadaşı,sıra arkadaşı,okul arkadaşı,A1
301,class,sınıf,ders,tür,A1
302,city,şehir,kent,büyükşehir,A1
303,circle,daire,çember,halka,A1
304,cinema,sinema,sinema salonu,film sanatı,A1
305,church,kilise,ibadethane,hristiyan tapınağı,A1
306,choose,seçmek,tercih etmek,karar vermek,A1
307,chocolate,çikolata,çikolatalı tatlı,sıcak çikolata,A1
308,child,çocuk,evlat,ufaklık,A1
309,chicken,tavuk,tavuk eti,piliç,A1
310,vase,vazo,çiçeklik,süs vazosu,A1
311,vegetable,sebze,bitki,bostan ürünü,A1
312,cheese,peynir,çökelek,peynir çeşidi,A1
313,check,kontrol etmek,denetlemek,banka çeki,A1
314,character,karakter,kişilik,simge,A1
315,change,değiştirmek,değişmek,para üstü,A1
316,chair,sandalye,koltuk,makam,A1
317,very,çok,oldukça,pek,A1
318,celebration,kutlama,tören,anma etkinliği,A1
319,celebrate,kutlamak,anmak,övmek,A1
320,CD player,CD çalar,müzik çalar,disk çalar,A1
321,CD,CD,kompakt disk,yoğun disk,A1
322,video,video,görüntülü kayıt,klip,A1
323,cat,kedi,kedigil,evcil kedi,A1
324,cut,kesmek,dilimlemek,kesik,A1
325,cute,sevimli,tatlı,şirin,A1
326,dad,baba,babacık,peder,A1
327,eat,yemek yemek,beslenmek,tüketmek,A1
328,easy,kolay,rahat,zahmetsiz,A1
329,early,erken,erkenden,ilk,A1
330,ear,kulak,işitme organı,başak,A1
331,top,üst,zirve,en yüksek,A1
332,each other,birbirini,birbirine,karşılıklı olarak,A1
333,each,her biri,her,tane başına,A1
334,topic,konu,başlık,tematik alan,A1
335,DVD,DVD,dijital video diski,video diski,A1
336,due,vadesi dolmuş,beklenen,kaynaklanan,A1
337,dry,kuru,kurutmak,kurak,A1
338,drum,davul,bando takımı,varil,A1
339,touch,dokunmak,temas etmek,dokunuş,A1
340,drop,düşürmek,damlatmak,damla,A1
341,driver,sürücü,şoför,sürücü yazılımı,A1
342,drive,süremek,araba kullanmak,sürüş,A1
343,drink,içmek,içecek,meşrubat,A1
344,dress,elbise,giyinmek,giysi,A1
345,dream,rüya,hayal,rüya görmek,A1
346,draw,çizmek,resim yapmak,çekmek,A1
347,drama,drama,tiyatro oyunu,tiyatro sanatı,A1
348,towel,havlu,kurulama bezi,peşkir,A1
349,tower,kule,kale kulesi,yüksek bina,A1
350,tooth,diş,çark dişi,testere dişi,A1
351,town,kasaba,"şehir, kent","ilçe, çarşı",A1
352,tool,"alet, araç","gereç, cihaz","vasıta, el aleti",A1
353,tonight,bu gece,bu akşam,geceleyin,A1
354,ticket,bilet,"fiş, kupon","etiket, ceza",A1
355,tiger,kaplan,yırtıcı kedi,acımasız kimse,A1
356,tight,"sıkı, dar","gergin, kısıtlı","iyice, tamamen",A1
357,time,"zaman, vakit","süre, dönem","defa, kere",A1
358,enjoy,zevk almak,tadını çıkarmak,"eğlenmek, hoşlanmak",A1
359,engineer,mühendis,makinist,"tasarlamak, yapmak",A1
360,end,"son, uç","bitirmek, sona ermek","amaç, hedef",A1
361,tired,yorgun,"bıkkın, usanmış","halsiz, bitkin",A1
362,email/e-mail/E-mail,e-posta,elektronik posta,e-posta göndermek,A1
363,else,"başka, diğer","yoksa, aksi halde","daha, haricinde",A1
364,to,"-e, -a","için, amacıyla","kala, doğru",A1
365,eleven,on bir,on bir sayısı,on birli,A1
366,elementary,ilkokul,"temel, basit",başlangıç seviyesi,A1
367,today,bugün,günümüzde,bu çağda,A1
368,together,"birlikte, beraber",bir arada,"peş peşe, üst üste",A1
369,toilet,tuvalet,"helâ, lavabo",klozet,A1
370,either,"ya, ikisinden biri","de, da","her iki, ikisi de",A1
371,eighty,seksen,seksen sayısı,seksenli,A1
372,eighteen,on sekiz,on sekiz sayısı,on sekizli,A1
373,eight,sekiz,sekiz sayısı,sekizli,A1
374,egg,yumurta,yumurtlamak,"hoca, tip",A1
375,tomato,domates,domatesli,domates fidesi,A1
376,tomorrow,yarın,"gelecek, istikbal",yakın gelecek,A1
377,too,"de, da","aşırı, çok","fazla, ayrıca",A1
378,down,"aşağı, aşağıya","inmiş, alt","üzgün, moral bozuk",A1
379,toy,oyuncak,önemsiz şey,"oynamak, oyalanmak",A1
380,door,kapı,"giriş, geçit","imkan, yol",A1
381,delicious,"lezzetli, nefis","tatlı, hoş","zevkli, harika",A1
382,try,denemek,"çabalamak, uğraşmak","yargılamak, sınamak",A1
383,T-shirt/tee-shirt,tişört,kısa kollu fanila,yazlık üst,A1
384,tube,"tüp, boru",metro,macun tüpü,A1
385,Tuesday,salı,salı günü,salıları,A1
386,turkey,hindi,"başarısızlık, fiyasko",hindi eti,A1
387,turn,"dönmek, çevirmek","sıra, tur","değişim, viraj",A1
388,TV,televizyon,TV yayıncılığı,televizyon alıcısı,A1
389,December,aralık,aralık ayı,yılın son ayı,A1
390,twelve,on iki,on iki sayısı,on ikili,A1
391,twenty,yirmi,yirmi sayısı,yirmili,A1
392,dear,"sevgili, aziz","pahalı, yüksek fiyatlı","değerli, muhterem",A1
393,two,iki,iki sayısı,"çift, ikili",A1
394,type,"tip, tür, çeşit","yazmak, klavyeyle yazmak","model, karakter",A1
395,day,gün,gündüz,"devir, çağ",A1
396,daughter,kız evlat,"kız, evlat",kız çocuk,A1
397,date,tarih,hurma,"randevu, flört",A1
398,ugly,çirkin,"tatsız, hoş olmayan","tehlikeli, tehditkâr",A1
399,dark,karanlık,koyu,"esmer, gizemli",A1
400,dancing,"dans, dans etme","danslı, dans eden",dans sanatı,A1
401,dance,dans etmek,dans,dansa kalkmak,A1
402,umbrella,şemsiye,koruma,siper,A1
403,daddy,baba,babacık,babuş,A1
404,true,doğru,gerçek,hakiki,A1
405,truck,kamyon,kamyonet,yük arabası,A1
406,trousers,pantolon,pantolon kumaşı,pantolon ayağı,A1
407,describe,tanımlamak,betimlemek,tarif etmek,A1
408,dollar,dolar,amerikan doları,para birimi,A1
409,doll,oyuncak bebek,bebek,kukla,A1
410,doing,yapma,yapış,eylem,A1
411,dog,köpek,it,erkek köpek,A1
412,does,yapar,eder,yerine getirir,A1
413,doctor/Dr./Dr,doktor,hekim,tabip,A1
414,do,yapmak,etmek,gerçekleştirmek,A1
415,train,tren,eğitmek,eğitim almak,A1
416,dish,tabak,yemek,bulaşık,A1
417,discuss,tartışmak,görüşmek,müzakere etmek,A1
418,travel,seyahat etmek,gezmek,yolculuk yapmak,A1
419,throw,atmak,fırlatmak,savurmak,A1
420,dirty,kirli,pis,lekelenmiş,A1
421,dining room,yemek odası,yemek salonu,yemek yeri,A1
422,tree,ağaç,odun,fidan,A1
423,dig,kazmak,kazı yapmak,bellemek,A1
424,difficult,zor,güç,çetin,A1
425,different,farklı,değişik,başka,A1
426,difference,fark,ayrılık,farklılık,A1
427,did,yaptı,etti,gerçekleştirdi,A1
428,dictionary,sözlük,lügat,söz kitabı,A1
429,trip,gezi,yolculuk,seyahat,A1
430,desk,çalışma masası,sıra,danışma masası,A1
431,design,tasarlamak,tasarım,dizayn etmek,A1
432,dinner,akşam yemeği,ana yemek,ziyafet,A1
433,business,iş,ticaret,şirket,A1
434,hope,umut etmek,umut,ümit etmek,A1
435,hospital,hastane,şifahane,sağlık merkezi,A1
436,shelf,raf,sığlık,raf tablası,A1
437,ship,gemi,göndermek,sevkiyat yapmak,A1
438,over,üzerinde,üstünde,bitmiş,A1
439,shirt,gömlek,fanila,üst giysi,A1
440,outside,dışarıda,dışında,dış taraf,A1
441,shoe,ayakkabı,pabuç,nal,A1
442,shop,dükkan,mağaza,alışveriş yapmak,A1
443,shopping,alışveriş,çarşı pazarı,mağaza gezisi,A1
444,short,kısa,az,eksik,A1
445,out,dışarı,dışarıda,hariç,A1
446,ours,bizimki,bizimkiler,bizim olan,A1
447,our,bizim,bizlerin,bize ait,A1
448,other,diğer,öteki,başka,A1
449,should,-meli,-malı,gereklilik,A1
450,shoulder,omuz,banket,üstlenmek,A1
451,order,sipariş,düzen,emir,A1
452,show,göstermek,gösteri,sergilemek,A1
453,orange,portakal,turuncu,portakal rengi,A1
454,or,veya,ya da,yoksa,A1
455,shower,duş,duş almak,sağanak,A1
456,opera,opera,opera binası,opera sanatı,A1
457,open,açık,açmak,başlatmak,A1
458,only,sadece,yalnızca,tek,A1
459,sheep,koyun,koyunlar,uysal kimse,A1
460,one,bir,biri,tek,A1
461,she,o,kendisi,o kadın,A1
462,owner,sahip,mal sahibi,ev sahibi,A1
463,peace,barış,huzur,sessizlik,A1
464,pay,ödemek,maaş,ödemesini yapmak,A1
465,set,kurmak,takım,ayarlamak,A1
466,seven,yedi,yedi sayısı,yedisi,A1
467,seventeen,on yedi,on yedi sayısı,on yedisi,A1
468,seventy,yetmiş,yetmiş sayısı,yetmişi,A1
469,past,geçmiş,mazi,geçen,A1
470,party,parti,eğlence,taraf,A1
471,partner,ortak,eş,partner,A1
472,park,park,park etmek,park alanı,A1
473,parent,ebeveyn,anne baba,velisi,A1
474,pardon,efendim,af,bağışlama,A1
475,paragraph,paragraf,fıkra,bent,A1
476,shake,sallamak,el sıkışmak,titremek,A1
477,paper,kağıt,gazete,belge,A1
478,pants,pantolon,don,iç çamaşırı,A1
479,palace,saray,görkemli bina,köşk,A1
480,pair,çift,ikili,eşlemek,A1
481,painting,tablo,resim,boyama,A1
482,paint,boyamak,boya,resmetmek,A1
483,page,sayfa,sayfa numarası,haberci,A1
484,share,paylaşmak,pay,hisse,A1
485,p.m./P.M./pm/PM,öğleden sonra,ö.s.,akşam,A1
486,own,kendi,sahip olmak,kabullenmek,A1
487,September,eylül,eylül ayı,sonbahar ayı,A1
488,once,bir kez,bir zamanlar,hemen,A1
489,Olympics,olimpiyatlar,olimpiyat oyunları,olimpiyat,A1
490,ninety,doksan,doksan sayısı,doksanı,A1
491,nineteen,on dokuz,on dokuz sayısı,on dokuzu,A1
492,nine,dokuz,dokuz sayısı,dokuzu,A1
493,night,gece,akşam,karanlık,A1
494,nice,güzel,hoş,iyi,A1
495,sir,efendim,beyefendi,sir,A1
496,sister,kız kardeş,abla,hemşire,A1
497,newspaper,gazete,günlük gazete,haber kağıdı,A1
498,news,haber,haberler,havadis,A1
499,new,yeni,taze,modern,A1
500,never,asla,hiçbir zaman,hiç,A1
501,sit,oturmak,kurulmak,tünemek,A1
502,site,alan,web sitesi,şantiye,A1
503,six,altı,altı sayısı,altılı,A1
504,sixteen,on altı,on altı sayısı,on altılı,A1
505,sixty,altmış,altmış sayısı,altmışlı,A1
506,neighbor/neighbour,komşu,yakın kimse,komşu ülke,A1
507,size,boyut,beden,ebat,A1
508,need,ihtiyaç duymak,gereksinim,muhtaç olmak,A1
509,neck,boyun,ense,yaka,A1
510,near,yakın,yakında,yaklaşmak,A1
511,skill,beceri,hüner,yetenek,A1
512,nationality,milliyet,uyruk,vatandaşlık,A1
513,no,hayır,yok,hiçbir,A1
514,on,üzerinde,açık,üstünde,A1
515,singer,şarkıcı,solist,ses sanatçısı,A1
516,sing,şarkı söylemek,ötmek,şakımak,A1
517,shy,utangaç,çekingen,sıkılgan,A1
518,sick,hasta,rahatsız,mide bulandırıcı,A1
519,old,yaşlı,eski,ihtiyar,A1
520,OK/okay,tamam,peki,olur,A1
521,side,taraf,yan,kenar,A1
522,often,sık sık,çoğunlukla,genelde,A1
523,officer,memur,subay,görevli,A1
524,office,ofis,büro,makam,A1
525,sight,görme,görüş,manzara,A1
526,sign,işaret,tabela,imzalamak,A1
527,off,kapalı,uzakta,sönük,A1
528,of,-in,-den yapılmış,hakkında,A1
529,October,ekim,ekim ayı,sonbahar ayı,A1
530,o'clock,saat,tam saat,saatte,A1
531,nurse,hemşire,hasta bakıcı,emzirmek,A1
532,number,numara,sayı,adet,A1
533,now,şimdi,hemen,şu anda,A1
534,November,kasım,kasım ayı,sonbahar ayı,A1
535,nothing,hiçbir şey,hiç,önemsiz şey,A1
536,notebook,defter,not defteri,dizüstü bilgisayar,A1
537,note,not,nota,dikkat etmek,A1
538,not,değil,yok,olumsuzluk eki,A1
539,nose,burun,ön kısım,koklamak,A1
540,noise,gürültü,ses,patırtı,A1
541,pen,tükenmez kalem,dolma kalem,ağıl,A1
542,sentence,cümle,hüküm,ceza vermek,A1
543,pencil,kurşun kalem,kalem,çizmek,A1
544,rain,yağmur,yağmur yağmak,yağmak,A1
545,row,sıra,kürek çekmek,kavga,A1
546,radio,radyo,telsiz,radyodan yayınlamak,A1
547,rude,kaba,nezaketsiz,terbiyesiz,A1
548,rabbit,tavşan,tavşan eti,acemi oyuncu,A1
549,quiet,sessiz,sakin,huzurlu,A1
550,quickly,hızlıca,çabucak,tezce,A1
551,rule,"kural, kaide","yönetim, idare","yönetmek, hükmetmek",A1
552,question,"soru, sual","sorgulamak, sorguya çekmek","şüphe, sorun",A1
553,ruler,cetvel,"hükümdar, yönetici","lider, devlet başkanı",A1
554,quarter,çeyrek,"mahalle, semt","bölge, kısım",A1
555,run,koşmak,"çalıştırmak, yönetmek","akmak, sürmek",A1
556,put,"koymak, yerleştirmek","takmak, eklemek",ifade etmek,A1
557,push,itmek,"zorlamak, baskı yapmak","itiş, hamle",A1
